Month,Open,High,Low,Close,Percent Increase/descrease
May-13,19459.33,20443.62,19451.26,19760.3,0.015466617
Jun-13,19859.22,19860.19,18467.16,19395.81,-0.023334753
Jul-13,19352.48,20351.06,19126.82,19345.7,-0.000350343
Aug-13,19443.29,19569.2,17448.71,18619.72,-0.042357543
Sep-13,18691.83,72998.07,18166.17,19379.77,0.036804315
Oct-13,19452.05,21205.44,19264.72,21164.52,0.088035451
Nov-13,21158.81,21321.53,20137.67,20791.93,-0.017339349
Dec-13,20771.27,21483.74,20568.7,21170.68,0.019228964
Jan-14,21222.19,21409.66,20343.78,20513.85,-0.033377328
Feb-14,20479.03,21140.51,19963.12,21120.12,0.031304705
Mar-14,21079.27,22467.21,20920.98,22386.27,0.062004045
Apr-14,22455.23,22939.31,22197.51,22417.8,-0.001666872
May-14,22493.59,25375.63,22277.04,24217.34,0.076632943
Jun-14,24368.96,25725.12,24270.2,25413.78,0.042875034
Jul-14,25469.94,26300.17,24892,25894.97,0.016687515
Aug-14,25753.92,26674.38,25232.82,26638.11,0.034332249
Sep-14,26733.18,27354.99,26220.49,26630.51,-0.003840546
Oct-14,26681.47,27894.32,25910.77,27865.83,0.044388859
Nov-14,27943.04,28822.37,27739.56,28693.99,0.026874313
Dec-14,28748.22,28809.64,26469.42,27499.42,-0.043439211
Jan-15,27485.77,29844.16,26776.12,29182.95,0.061747588
Feb-15,29143.63,29560.32,28044.49,29361.5,0.007475733
Mar-15,29533.42,30024.74,27248.45,27957.49,-0.053360904
Apr-15,27954.86,29094.61,26897.54,27011.31,-0.033752628
May-15,27204.63,28071.16,26423.99,27828.44,0.022930288
Jun-15,27770.79,27968.75,26307.07,27780.83,0.000361531
Jul-15,27823.65,28578.33,27416.39,28114.56,0.010455494
Aug-15,28089.09,28417.59,25298.42,26283.09,-0.064295426
Sep-15,26127.04,26471.82,24833.54,26154.83,0.001063649
Oct-15,26344.19,27618.14,26168.71,26656.83,0.011867512
Nov-15,26641.69,26824.3,25451.42,26145.67,-0.018618188
Dec-15,26201.27,26256.42,24867.73,26117.54,-0.003195647
Jan-16,26101.5,26197.27,23839.76,24870.69,-0.047154761
Feb-16,24982.22,25002.32,22494.61,23002,-0.079265173
Mar-16,23153.32,25479.62,23133.18,25341.86,0.094523809
Apr-16,25301.7,26100.54,24523.2,25606.62,0.012051364
May-16,25565.44,26837.2,25057.93,26667.96,0.043125407
Jun-16,26684.46,27105.41,25911.33,26999.72,0.011814367
Jul-16,27064.33,28240.2,27034.14,28051.86,0.036488249
Aug-16,28083.08,28532.25,27627.97,28452.17,0.013142789
Sep-16,28459.09,29077.28,27716.78,27865.96,-0.020841496
Oct-16,27997.29,28477.65,27488.3,27930.21,-0.002395946
Nov-16,27966.18,28029.8,25717.93,26652.81,-0.046962796
Dec-16,26756.66,26803.76,25753.74,26626.46,-0.004866078
Jan-17,26711.15,27980.39,26447.06,27655.96,0.035371371
Feb-17,27669.08,29065.31,27590.1,28743.32,0.038824565
Mar-17,28849.04,29824.62,28716.21,29620.5,0.026741271
Apr-17,29737.73,30184.22,29241.48,29918.4,0.006075447
May-17,30021.49,31255.28,29804.12,31145.8,0.037450173
Jun-17,31117.09,31522.87,30680.66,30921.61,-0.006282078
Jul-17,31156.04,32672.66,31017.11,32514.94,0.043615941
Aug-17,32579.8,32686.48,31128.02,31730.49,-0.026068607
Sep-17,31769.34,32524.11,31081.83,31283.72,-0.015285807
Oct-17,31537.81,33340.17,31440.48,33213.13,0.053121
Nov-17,33344.23,33865.95,32683.59,33149.35,-0.005844489
Dec-17,33247.66,34137.97,32565.16,34056.83,0.024337653
Jan-18,34059.99,36443.98,33703.37,35965.02,0.055931608
Feb-18,36048.99,36256.83,33482.81,34184.04,-0.051733766
Mar-18,34141.22,34278.63,32483.84,32968.68,-0.034343823
Apr-18,33030.87,35213.3,32972.56,35160.36,0.064469692
May-18,35328.91,35993.53,34302.89,35322.38,-0.000184834
Jun-18,35373.98,35877.41,34784.68,35423.48,0.001399334
Jul-18,35545.22,37644.59,35106.57,37606.58,0.057992608
Aug-18,37643.87,38989.65,37128.99,38645.07,0.026596628
Sep-18,38915.91,38934.35,35985.63,36227.14,-0.069091793
Oct-18,36274.25,36616.64,33291.58,34442.05,-0.050509659
Nov-18,34650.63,36389.22,34303.38,36194.3,0.044549551
Dec-18,36396.69,36554.99,34426.29,36068.33,-0.0090217
Jan-19,36161.8,36701.03,35375.51,36256.69,0.00262404
Feb-19,36311.74,37172.18,35287.16,35867.44,-0.012235712
Mar-19,36018.49,38748.54,35926.94,38672.91,0.073696038
Apr-19,38858.88,39487.45,38460.25,39031.55,0.004443515
May-19,39036.51,40124.96,36956.1,39714.2,0.017360415
Jun-19,39806.86,40312.07,38870.96,39394.64,-0.010355502
Jul-19,39543.73,40032.41,37128.26,37481.12,-0.052160229
Aug-19,37387.18,37807.55,36102.35,37332.79,-0.001454777
Sep-19,37181.76,39441.12,35987.8,38667.33,0.039954268
Oct-19,38813.48,40392.22,37415.83,40129.05,0.033894668
Nov-19,40196.07,41163.79,40014.23,40793.81,0.014870608
Dec-19,41072.94,41809.96,40135.37,41253.74,0.004401925
Jan-20,41349.36,42273.87,40476.55,40723.49,-0.015136147
Feb-20,40753.18,41709.3,38219.97,38297.29,-0.060262537
Mar-20,38910.95,39083.17,25638.9,29468.49,-0.242668452
Apr-20,29505.33,33887.25,27500.79,33717.62,0.142763697
May-20,32748.14,32845.48,29968.45,32424.1,-0.009894913
Jun-20,32906.05,35706.55,32348.1,34915.8,0.061075395
Jul-20,35009.59,38617.03,34927.2,37606.89,0.074188244
Aug-20,37595.73,40010.17,36911.23,38628.29,0.027464821
Sep-20,38754,39359.51,36495.98,38067.93,-0.017703205
Oct-20,38410.2,41048.05,38410.2,39614.07,0.031342456
Nov-20,39880.38,44825.37,39334.92,44149.72,0.107053644
Dec-20,44435.83,47896.97,44118.1,47751.33,0.074613212
Jan-21,47785.28,50184.01,46160.46,46285.77,-0.031380166
Feb-21,46617.95,52516.76,46433.65,49099.99,0.053242152
Mar-21,49747.71,51821.84,48236.35,49509.15,-0.004795397
Apr-21,49868.53,50375.77,47204.5,48782.36,-0.02178067
May-21,48356.01,52013.22,48028.07,51937.44,0.074063803
Jun-21,52067.51,53126.73,51450.58,52482.71,0.007974263
Jul-21,52638.5,53290.81,51802.73,52586.84,-0.000981411
Aug-21,52901.28,57625.26,52804.08,57552.39,0.087920557
Sep-21,57763.53,60412.32,57263.9,59126.36,0.02359326
Oct-21,58889.77,62245.43,58551.14,59306.93,0.007083743
Nov-21,59577.48,61036.56,56382.93,57064.87,-0.042173821
Dec-21,57365.85,59203.37,55132.68,58253.82,0.01547907
Jan-22,58310.09,61475.15,56409.63,58014.17,-0.005074936
Feb-22,58672.86,59618.51,54383.2,56247.28,-0.041340749
Mar-22,55629.3,58890.92,52260.82,58568.51,0.052835646
Apr-22,58530.73,60845.1,56009.07,57060.87,-0.02511262
May-22,56429.45,57184.21,52632.48,55566.41,-0.015294142
Jun-22,55588.27,56432.65,50921.22,53018.94,-0.046220722
Jul-22,52863.34,57619.27,52094.25,57570.25,0.089039209
Aug-22,57823.1,60411.2,57367.47,59537.07,0.029641614
Sep-22,58710.53,60676.12,56147.23,57426.92,-0.021863369
Oct-22,57403.92,60786.7,56683.4,60746.59,0.058230692
Nov-22,61065.58,63303.01,60425.47,63099.65,0.033309599
Dec-22,63357.99,63583.07,59754.1,60840.74,-0.039730585
Jan-23,60871.24,61343.96,58699.2,59549.9,-0.021707131
Feb-23,60001.17,61682.25,58795.97,58962.12,-0.017317162
Mar-23,59136.48,60498.48,57084.91,58991.52,-0.002451279
Apr-23,59131.16,61209.46,58793.08,61112.44,0.03350653
May-23,61301.61,63036.12,61002.17,62622.24,0.021543154
Jun-23,62736.47,64768.58,62359.14,64718.56,0.031593904
Jul-23,64836.16,67619.17,64836.16,66527.67,0.026088991
Aug-23,66532.98,66658.12,64723.63,64831.41,-0.025574835
Sep-23,64855.51,67927.23,64818.37,65828.41,0.015001038
Oct-23,65813.42,66592.16,63092.98,63874.93,-0.029454327
Nov-23,63829.87,67069.89,63550.46,66988.44,0.049484199
Dec-23,67181.15,72484.34,67149.07,72240.26,0.075305499
Jan-24,72218.39,73427.59,70001.6,71752.11,-0.006456527
Feb-24,71998.78,73413.93,70809.84,72500.3,0.006965674
Mar-24,72606.31,74245.17,71674.42,73651.35,0.014393239
Apr-24,73968.62,75124.28,71816.46,74482.78,0.006951056
May-24,74391.73,76009.68,71866.01,73961.31,-0.005785858
Jun-24,76583.29,79671.58,70234.43,79032.73,0.031984001
Jul-24,79043.35,81587.76,78971.79,80429.04,0.01753076
